Source,URL,Neighborhood,District,Zone,Price_USD,Area_SQM,Price_Per_SQM,Scraped_Date
Dubizzle,https://www.olx.com.lb/ad/jc-4236-apartment-for-sale-in-zouk-mikael-%D8%B4%D9%82%D8%A9-%D9%84%D9%84%D8%A8%D9%8A%D8%B9-%D9%81%D9%8A-%D8%B0%D9%88%D9%82-%D9%85%D9%83%D8%A7%D9%8A%D9%84-ID117007399.html,Unknown,Unknown,Unknown,140000.0,150.0,933.3,2026-08-23 06:20
Dubizzle,https://www.olx.com.lb/ad/apartment-for-sale-in-naccache-%D8%B4%D9%82%D8%A9-%D9%84%D9%84%D8%A8%D9%8A%D8%B9-%D9%81%D9%8A-%D8%A7%D9%84%D9%86%D9%82%D8%A7%D8%B4-ID116906830.html,Naccache,El Meten,El Meten,190000.0,150.0,1266.7,2026-08-23 06:20
Dubizzle,https://www.olx.com.lb/ad/new-building-in-ras-el-nabeh-prime-220sq-3-bedrooms-rn-163-ID116780508.html,Ras Al Nabaa,Beirut,Mazraa,450000.0,220.0,2045.5,2026-08-23 06:20
Dubizzle,https://www.olx.com.lb/ad/rwk295tj-apartment-for-sale-in-adma-with-an-unblockable-sea-view-ID116981006.html,Unknown,Unknown,Unknown,380000.0,200.0,1900.0,2026-08-23 06:20
Dubizzle,https://www.olx.com.lb/ad/rwk323tj-beautiful-apartment-for-sale-in-adma-ID116942133.html,Unknown,Unknown,Unknown,200000.0,143.0,1398.6,2026-08-23 06:20
Dubizzle,https://www.olx.com.lb/ad/rwk322tj-beautiful-apartment-for-sale-in-adma-ID116942122.html,Unknown,Unknown,Unknown,300000.0,236.0,1271.2,2026-08-23 06:20
Dubizzle,https://www.olx.com.lb/ad/rwk315tj-villa-for-sale-in-kfour-with-an-open-view-in-a-prime-location-ID116935496.html,Unknown,Unknown,Unknown,700000.0,375.0,1866.7,2026-08-23 06:20
Dubizzle,https://www.olx.com.lb/ad/rwk313tj---brand-new-apartment-for-sale-in-adma-ID116930823.html,Unknown,Unknown,Unknown,430000.0,210.0,2047.6,2026-08-23 06:20
Dubizzle,https://www.olx.com.lb/ad/rwk162tj-apartment-for-sale-in-chnaniir-with-payment-facilities-ID116852012.html,Unknown,Unknown,Unknown,115000.0,125.0,920.0,2026-08-23 06:20
Dubizzle,https://www.olx.com.lb/ad/rwk153tj-renovated-apartment-for-sale-in-fatqa-ID116623993.html,Unknown,Unknown,Unknown,140000.0,130.0,1076.9,2026-08-23 06:20
Dubizzle,https://www.olx.com.lb/ad/rwk137tj-under-construction-apartment-for-sale-in-fatqa-ID116584691.html,Unknown,Unknown,Unknown,170000.0,141.0,1205.7,2026-08-23 06:20
Dubizzle,https://www.olx.com.lb/ad/luxury-apartment-under-construction-just-steps-away-from-the-beach-ID116698535.html,Batroun Town,El Batroun,El Batroun,350000.0,216.0,1620.4,2026-08-23 06:20
Dubizzle,https://www.olx.com.lb/ad/residential-project-under-construction-in-hboub-jbeil-ID116718132.html,Hboub,Jbeil,Jbeil,129000.0,113.0,1141.6,2026-08-23 06:20
Dubizzle,https://www.olx.com.lb/ad/apartment-for-sale-in-ras-el-nabaa-ID117037985.html,Ras Al Nabaa,Beirut,Mazraa,240000.0,160.0,1500.0,2026-08-23 06:20
Dubizzle,https://www.olx.com.lb/ad/project-of-apartments-for-sale-in-kfaryassin-ref-87273375jb-ID117023165.html,Unknown,Unknown,Unknown,210000.0,140.0,1500.0,2026-08-23 06:20
Dubizzle,https://www.olx.com.lb/ad/duplex-for-sale-bhorsaf-%D8%AF%D9%88%D8%A8%D9%84%D9%83%D8%B3-%D9%84%D9%84%D8%A8%D9%8A%D8%B9-%D8%A8%D8%AD%D8%B1%D8%B5%D8%A7%D9%81-ID117019077.html,Bhorsaf,El Meten,El Meten,300000.0,300.0,1000.0,2026-08-23 06:20
Dubizzle,https://www.olx.com.lb/ad/apartment-for-sale-in-tabarja-ref-87267324jb-ID117017369.html,Unknown,Unknown,Unknown,170000.0,171.0,994.2,2026-08-23 06:20
